"","playlist_id","playlist_name","playlist_img","playlist_owner_name","playlist_owner_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.id","analysis_url","time_signature","added_at","is_local","primary_color","added_by.href","added_by.id","added_by.type","added_by.uri","added_by.external_urls.spotify","track.preview_url","track.explicit","track.type","track.episode","track.track","track.disc_number","track.track_number","track.duration_ms","track.href","track.name","track.popularity","track.uri","track.is_local","track.album.type","track.album.album_type","track.album.href","track.album.id","track.album.name","track.album.release_date","track.album.release_date_precision","track.album.uri","track.album.total_tracks","track.album.external_urls.spotify","track.external_ids.isrc","track.external_urls.spotify","video_thumbnail.url","key_name","mode_name","key_mode"
"1","37i9dQZF1DXd9rSDyQguIk","Blues Classics","https://i.scdn.co/image/ab67706f000000027500902fb0aa21f0bdb12cfd","Spotify","spotify",0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,"1kPBT8S2wJFNAyBMnGVZgL","https://api.spotify.com/v1/audio-analysis/1kPBT8S2wJFNAyBMnGVZgL",3,"2020-01-15T21:29:46Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",NA,FALSE,"track",FALSE,TRUE,1,2,156653,"https://api.spotify.com/v1/tracks/1kPBT8S2wJFNAyBMnGVZgL","I'd Rather Go Blind",77,"spotify:track:1kPBT8S2wJFNAyBMnGVZgL",FALSE,"album","album","https://api.spotify.com/v1/albums/4ReJ59T4YxC62WkfyVTWpr","4ReJ59T4YxC62WkfyVTWpr","Tell Mama","1968-04-18","day","spotify:album:4ReJ59T4YxC62WkfyVTWpr",12,"https://open.spotify.com/album/4ReJ59T4YxC62WkfyVTWpr","USMC16746346","https://open.spotify.com/track/1kPBT8S2wJFNAyBMnGVZgL",NA,"B","minor","B minor"
"2","37i9dQZF1DXd9rSDyQguIk","Blues Classics","https://i.scdn.co/image/ab67706f000000027500902fb0aa21f0bdb12cfd","Spotify","spotify",0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,"1a2iF9XymafjRk56q7oCxo","https://api.spotify.com/v1/audio-analysis/1a2iF9XymafjRk56q7oCxo",4,"2018-03-29T19:44:07Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/","https://p.scdn.co/mp3-preview/8faa93aa2d3e22a430ee9685e3ad2695c5508417?cid=8e358bf3471a4232babc75cfae3ffffc",FALSE,"track",FALSE,TRUE,1,2,219586,"https://api.spotify.com/v1/tracks/1a2iF9XymafjRk56q7oCxo","Pride and Joy",67,"spotify:track:1a2iF9XymafjRk56q7oCxo",FALSE,"album","album","https://api.spotify.com/v1/albums/1AL5oXZRtTc8PyhcTwg4xQ","1AL5oXZRtTc8PyhcTwg4xQ","Texas Flood (Legacy Edition)","1983","year","spotify:album:1AL5oXZRtTc8PyhcTwg4xQ",20,"https://open.spotify.com/album/1AL5oXZRtTc8PyhcTwg4xQ","USSM10008869","https://open.spotify.com/track/1a2iF9XymafjRk56q7oCxo",NA,"G#","major","G# major"
"3","37i9dQZF1DXd9rSDyQguIk","Blues Classics","https://i.scdn.co/image/ab67706f000000027500902fb0aa21f0bdb12cfd","Spotify","spotify",0.518,0.376,9,-18.248,0,0.0431,0.933,0.86,0.0976,0.744,158.089,"4qYHnP5AmKzXbJhciPV8si","https://api.spotify.com/v1/audio-analysis/4qYHnP5AmKzXbJhciPV8si",4,"2018-03-29T19:44:07Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",NA,FALSE,"track",FALSE,TRUE,1,1,233560,"https://api.spotify.com/v1/tracks/4qYHnP5AmKzXbJhciPV8si","Ain't No Love In The Heart Of The City - Single Version",65,"spotify:track:4qYHnP5AmKzXbJhciPV8si",FALSE,"album","album","https://api.spotify.com/v1/albums/5OkHt7JZ6HSkJH359y2H31","5OkHt7JZ6HSkJH359y2H31","Dreamer","1974-01-01","day","spotify:album:5OkHt7JZ6HSkJH359y2H31",10,"https://open.spotify.com/album/5OkHt7JZ6HSkJH359y2H31","USMC17449307","https://open.spotify.com/track/4qYHnP5AmKzXbJhciPV8si",NA,"A","minor","A minor"
"4","37i9dQZF1DXd9rSDyQguIk","Blues Classics","https://i.scdn.co/image/ab67706f000000027500902fb0aa21f0bdb12cfd","Spotify","spotify",0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,"2Mr1bGI2E10K7Mt1UJZ6Mw","https://api.spotify.com/v1/audio-analysis/2Mr1bGI2E10K7Mt1UJZ6Mw",4,"2018-03-29T19:44:07Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",NA,FALSE,"track",FALSE,TRUE,1,1,152350,"https://api.spotify.com/v1/tracks/2Mr1bGI2E10K7Mt1UJZ6Mw","Boom Boom",62,"spotify:track:2Mr1bGI2E10K7Mt1UJZ6Mw",FALSE,"album","album","https://api.spotify.com/v1/albums/3H0HdocoAAEEfiDfcRZauz","3H0HdocoAAEEfiDfcRZauz","Burnin'","1962-01-01","day","spotify:album:3H0HdocoAAEEfiDfcRZauz",11,"https://open.spotify.com/album/3H0HdocoAAEEfiDfcRZauz","USVJ10400579","https://open.spotify.com/track/2Mr1bGI2E10K7Mt1UJZ6Mw",NA,"A#","major","A# major"
"5","37i9dQZF1DXd9rSDyQguIk","Blues Classics","https://i.scdn.co/image/ab67706f000000027500902fb0aa21f0bdb12cfd","Spotify","spotify",0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,"58PSYdY0GFg0LFb2PxYk4T","https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T",3,"2018-03-29T19:44:07Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/","https://p.scdn.co/mp3-preview/4cfb55a2ddbd24a5538f21588a85fa5727025aa7?cid=8e358bf3471a4232babc75cfae3ffffc",FALSE,"track",FALSE,TRUE,1,14,321133,"https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T","Mannish Boy",62,"spotify:track:58PSYdY0GFg0LFb2PxYk4T",FALSE,"album","album","https://api.spotify.com/v1/albums/4fOVcN7X7vQ8L41is621uJ","4fOVcN7X7vQ8L41is621uJ","King Of The Electric Blues","1977","year","spotify:album:4fOVcN7X7vQ8L41is621uJ",15,"https://open.spotify.com/album/4fOVcN7X7vQ8L41is621uJ","USSM17600224","https://open.spotify.com/track/58PSYdY0GFg0LFb2PxYk4T",NA,"D","major","D major"
"6","37i9dQZF1DXd9rSDyQguIk","Blues Classics","https://i.scdn.co/image/ab67706f000000027500902fb0aa21f0bdb12cfd","Spotify","spotify",0.676,0.334,5,-10.572,1,0.0508,0.862,0,0.32,0.867,158,"4KMXlzvtC8xjLseDqDjpeU","https://api.spotify.com/v1/audio-analysis/4KMXlzvtC8xjLseDqDjpeU",4,"2020-01-15T21:29:46Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",NA,FALSE,"track",FALSE,TRUE,1,22,162040,"https://api.spotify.com/v1/tracks/4KMXlzvtC8xjLseDqDjpeU","My Babe",59,"spotify:track:4KMXlzvtC8xjLseDqDjpeU",FALSE,"album","album","https://api.spotify.com/v1/albums/2Y2oBBKe7dnNGJrf6HAGBc","2Y2oBBKe7dnNGJrf6HAGBc","The Essential Little Walter","1993-06-08","day","spotify:album:2Y2oBBKe7dnNGJrf6HAGBc",46,"https://open.spotify.com/album/2Y2oBBKe7dnNGJrf6HAGBc","USMC15507777","https://open.spotify.com/track/4KMXlzvtC8xjLseDqDjpeU",NA,"F","major","F major"
"7","37i9dQZF1DXd9rSDyQguIk","Blues Classics","https://i.scdn.co/image/ab67706f000000027500902fb0aa21f0bdb12cfd","Spotify","spotify",0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,"3XxBSvDZKH5YvZZjTpn6eR","https://api.spotify.com/v1/audio-analysis/3XxBSvDZKH5YvZZjTpn6eR",4,"2022-04-11T19:33:30Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/","https://p.scdn.co/mp3-preview/89d1193245276db49d88c866ec02f80c76512b8b?cid=8e358bf3471a4232babc75cfae3ffffc",FALSE,"track",FALSE,TRUE,1,17,230360,"https://api.spotify.com/v1/tracks/3XxBSvDZKH5YvZZjTpn6eR","Red House",59,"spotify:track:3XxBSvDZKH5YvZZjTpn6eR",FALSE,"album","album","https://api.spotify.com/v1/albums/7rSZXXHHvIhF4yUFdaOCy9","7rSZXXHHvIhF4yUFdaOCy9","Are You Experienced","1967-05-12","day","spotify:album:7rSZXXHHvIhF4yUFdaOCy9",17,"https://open.spotify.com/album/7rSZXXHHvIhF4yUFdaOCy9","USQX90900781","https://open.spotify.com/track/3XxBSvDZKH5YvZZjTpn6eR",NA,"F","minor","F minor"
"8","37i9dQZF1DXd9rSDyQguIk","Blues Classics","https://i.scdn.co/image/ab67706f000000027500902fb0aa21f0bdb12cfd","Spotify","spotify",0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,"3ocm1Cf1Dk1ODrdBdybh82","https://api.spotify.com/v1/audio-analysis/3ocm1Cf1Dk1ODrdBdybh82",4,"2020-01-15T21:29:46Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",NA,FALSE,"track",FALSE,TRUE,1,1,169997,"https://api.spotify.com/v1/tracks/3ocm1Cf1Dk1ODrdBdybh82","Born Under A Bad Sign - Mono Mix",58,"spotify:track:3ocm1Cf1Dk1ODrdBdybh82",FALSE,"album","album","https://api.spotify.com/v1/albums/0Ez9S8Dhzr1fa6ZCkcIJiR","0Ez9S8Dhzr1fa6ZCkcIJiR","Born Under A Bad Sign (Mono)","1967-01-01","day","spotify:album:0Ez9S8Dhzr1fa6ZCkcIJiR",11,"https://open.spotify.com/album/0Ez9S8Dhzr1fa6ZCkcIJiR","USC4R1901031","https://open.spotify.com/track/3ocm1Cf1Dk1ODrdBdybh82",NA,"B","major","B major"
"9","37i9dQZF1DXd9rSDyQguIk","Blues Classics","https://i.scdn.co/image/ab67706f000000027500902fb0aa21f0bdb12cfd","Spotify","spotify",0.565,0.526,0,-11.352,1,0.0365,0.0339,0.000119,0.11,0.637,167.936,"2wnjZXcAT3rCjjqxLeHjv7","https://api.spotify.com/v1/audio-analysis/2wnjZXcAT3rCjjqxLeHjv7",4,"2020-01-15T21:29:46Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",NA,FALSE,"track",FALSE,TRUE,1,6,204333,"https://api.spotify.com/v1/tracks/2wnjZXcAT3rCjjqxLeHjv7","Going Down",58,"spotify:track:2wnjZXcAT3rCjjqxLeHjv7",FALSE,"album","album","https://api.spotify.com/v1/albums/2bNjljctm6ynfp9Xzdy7RI","2bNjljctm6ynfp9Xzdy7RI","Getting Ready... (World)","1971","year","spotify:album:2bNjljctm6ynfp9Xzdy7RI",10,"https://open.spotify.com/album/2bNjljctm6ynfp9Xzdy7RI","USSH49500017","https://open.spotify.com/track/2wnjZXcAT3rCjjqxLeHjv7",NA,"C","major","C major"
"10","37i9dQZF1DXd9rSDyQguIk","Blues Classics","https://i.scdn.co/image/ab67706f000000027500902fb0aa21f0bdb12cfd","Spotify","spotify",0.56,0.241,4,-15.385,0,0.0314,0.593,0.195,0.122,0.341,79.537,"5x7Oxaa9EEIx9nw17CC5yW","https://api.spotify.com/v1/audio-analysis/5x7Oxaa9EEIx9nw17CC5yW",4,"2020-01-15T21:29:46Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",NA,FALSE,"track",FALSE,TRUE,1,7,293733,"https://api.spotify.com/v1/tracks/5x7Oxaa9EEIx9nw17CC5yW","Chains And Things",55,"spotify:track:5x7Oxaa9EEIx9nw17CC5yW",FALSE,"album","album","https://api.spotify.com/v1/albums/1NgGj5ECcDELHjoQRX2P1l","1NgGj5ECcDELHjoQRX2P1l","Indianola Mississippi Seeds","1970-01-01","day","spotify:album:1NgGj5ECcDELHjoQRX2P1l",9,"https://open.spotify.com/album/1NgGj5ECcDELHjoQRX2P1l","USMC17046303","https://open.spotify.com/track/5x7Oxaa9EEIx9nw17CC5yW",NA,"E","minor","E minor"
