"","playlist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track.duration_ms","track.explicit","track.name","track.popularity","track.album.release_date","track.album.release_date_precision","key_name","mode_name","key_mode","genre"
"1","Blues Classics",0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,3,156653,FALSE,"I'd Rather Go Blind",79,"1968-04-18","day","B","minor","B minor","blues"
"2","Blues Classics",0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,4,219586,FALSE,"Pride and Joy",68,"1983","year","G#","major","G# major","blues"
"3","Blues Classics",0.518,0.376,9,-18.248,0,0.0431,0.933,0.86,0.0976,0.744,158.089,4,233560,FALSE,"Ain't No Love In The Heart Of The City - Single Version",66,"1974-01-01","day","A","minor","A minor","blues"
"4","Blues Classics",0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,4,324733,FALSE,"The Thrill Is Gone",65,"1969-12-05","day","B","minor","B minor","blues"
"5","Blues Classics",0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,3,321133,FALSE,"Mannish Boy",64,"1977","year","D","major","D major","blues"
"6","Blues Classics",0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,4,188400,FALSE,"Smokestack Lightnin'",64,"1958-03-01","day","A","minor","A minor","blues"
"7","Blues Classics",0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,4,152350,FALSE,"Boom Boom",63,"1962-01-01","day","A#","major","A# major","blues"
"8","Blues Classics",0.676,0.334,5,-10.572,1,0.0508,0.862,0,0.32,0.867,158,4,162040,FALSE,"My Babe",60,"1993-06-08","day","F","major","F major","blues"
"9","Blues Classics",0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,4,230360,FALSE,"Red House",60,"1967-05-12","day","F","minor","F minor","blues"
"10","Blues Classics",0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,4,169997,FALSE,"Born Under A Bad Sign - Mono Mix",60,"1967-01-01","day","B","major","B major","blues"
"11","Blues Classics",0.565,0.526,0,-11.352,1,0.0365,0.0339,0.000119,0.11,0.637,167.936,4,204333,FALSE,"Going Down",58,"1971","year","C","major","C major","blues"
"12","Blues Classics",0.563,0.542,9,-10.862,1,0.0962,0.706,3.59e-05,0.355,0.785,133.285,4,181000,FALSE,"Hound Dog",57,"1989-01-01","day","A","major","A major","blues"
"13","Blues Classics",0.513,0.546,0,-15.672,1,0.0391,0.333,0,0.17,0.834,85.527,4,164546,FALSE,"I'm A Man",57,"1958-01-01","day","C","major","C major","blues"
